country,geo,nuts_2,gdp_per_cap,pop,weighted_avg_gdp_per_cap
ES,ES23,La Rioja,0.027023116140924595,314185.125,0.025270344745163285
ES,ES24,Aragón,0.027732849132126213,1321299.0,0.025270344745163285
ES,ES30,Comunidad de Madrid,0.034682857287594744,6593731.125,0.025270344745163285
ES,ES41,Castilla y León,0.023819595230269164,2419927.0,0.025270344745163285
ES,ES42,Castilla-La Mancha,0.02005464800340158,2045538.25,0.025270344745163285
ES,ES43,Extremadura,0.018530035565550548,1070411.125,0.025270344745163285
ES,ES51,Cataluña,0.029932437729559086,7538063.25,0.025270344745163285
ES,ES52,Comunitat Valenciana,0.02217313058811631,4984667.625,0.025270344745163285
ES,ES53,Illes Balears,0.02631488488800986,1177635.5,0.025270344745163285
ES,ES61,Andalucía,0.01875539766999919,8443659.125,0.025270344745163285
ES,ES62,Región de Murcia,0.020995511699809406,1488366.375,0.025270344745163285
ES,ES63,Ciudad de Ceuta,0.020346651188068776,84316.375,0.025270344745163285
ES,ES64,Ciudad de Melilla,0.018632493426445317,84426.0,0.025270344745163285
ES,ES70,Canarias,0.01997952594840947,2191734.75,0.025270344745163285
FI,FI19,Länsi-Suomi,0.03786159013813763,1379606.5,0.04273143239084341
FI,FI1B,Helsinki-Uusimaa,0.05571210891509943,1661966.75,0.04273143239084341
FI,FI1C,Etelä-Suomi,0.03772041089571057,1154210.125,0.04273143239084341
FI,FI1D,Pohjois- ja Itä-Suomi,0.035611101732814905,1287214.75,0.04273143239084341
FI,FI20,Åland,0.04591387597321574,29593.5,0.04273143239084341
FR,FR10,Ile-de-France,0.059203358424426394,12226264.25,0.0353395226367578
FR,FRB0,Centre — Val de Loire,0.028922304435766474,2572650.375,0.0353395226367578
FR,FRC1,Bourgogne,0.029140883811996327,1626609.125,0.0353395226367578
FR,FRC2,Franche-Comté,0.026587171620159937,1178068.0,0.0353395226367578
FR,FRD1,Basse-Normandie,0.027593238811217544,1470696.625,0.0353395226367578
FR,FRD2,Haute-Normandie,0.030113558592519723,1854355.875,0.0353395226367578
FR,FRE1,Nord-Pas de Calais,0.028714867970896733,4069651.25,0.0353395226367578
FR,FRE2,Picardie,0.02618260198234972,1928896.625,0.0353395226367578
FR,FRF1,Alsace,0.03245403362958266,1901573.125,0.0353395226367578
FR,FRF2,Champagne-Ardenne,0.029699712750962254,1321938.625,0.0353395226367578
FR,FRF3,Lorraine,0.02589650358666097,2326695.25,0.0353395226367578
FR,FRG0,Pays de la Loire,0.031505339309469,3793351.0,0.0353395226367578
FR,FRH0,Bretagne,0.02999376178348854,3344855.875,0.0353395226367578
FR,FRI1,Aquitaine,0.03101483797031955,3449896.125,0.0353395226367578
FR,FRI2,Limousin,0.026311091097092745,730238.5,0.0353395226367578
FR,FRI3,Poitou-Charentes,0.02854944328420659,1813182.75,0.0353395226367578
FR,FRJ1,Languedoc-Roussillon,0.026563331306115313,2841285.875,0.0353395226367578
FR,FRJ2,Midi-Pyrénées,0.0318658337737461,3065922.75,0.0353395226367578
FR,FRK1,Auvergne,0.02844757425012933,1368121.75,0.0353395226367578
FR,FRK2,Rhône-Alpes,0.03535171936275302,6644654.25,0.0353395226367578
FR,FRL0,Provence-Alpes-Côte d’Azur,0.03381065730222936,5064135.25,0.0353395226367578
FR,FRM0,Corse,0.027579861186319398,339349.125,0.0353395226367578
FR,FRY1,Guadeloupe,0.02294129457655788,419575.75,0.0353395226367578
FR,FRY2,Martinique,0.02431195267937703,366400.25,0.0353395226367578
FR,FRY3,Guyane,0.015387267997155948,278853.0,0.0353395226367578
FR,FRY4,La Réunion,0.022354289448627086,857856.25,0.0353395226367578
FR,FRY5,Mayotte,0.009891657531293304,264802.75,0.0353395226367578
HR,HR02,Panonska Hrvatska,0.011185904424554492,1029949.5,0.01515807979051685
HR,HR03,Jadranska Hrvatska,0.012419806412241519,1371935.0,0.01515807979051685
HR,HR05,Grad Zagreb,0.02746675799927916,787804.5,0.01515807979051685
HR,HR06,Sjeverna Hrvatska,0.012843649564056312,798883.0,0.01515807979051685
HU,HU11,Budapest,0.028857695825325685,1744081.5,0.014064565621057828
HU,HU12,Pest,0.011499464650014604,1272588.25,0.014064565621057828
HU,HU21,Közép-Dunántúl,0.01307580671625736,1058831.25,0.014064565621057828
HU,HU22,Nyugat-Dunántúl,0.013874123740502281,989306.625,0.014064565621057828
HU,HU23,Dél-Dunántúl,0.009532332292224001,885079.25,0.014064565621057828
HU,HU31,Észak-Magyarország,0.009447609122542677,1132079.75,0.014064565621057828
HU,HU32,Észak-Alföld,0.00907359012335823,1454323.875,0.014064565621057828
HU,HU33,Dél-Alföld,0.010195621627939971,1241716.0,0.014064565621057828
IE,IE04,Northern and Western,0.03119313127975526,862828.625,0.0723175604485148
IE,IE05,Southern,0.08296881046991772,1616206.25,0.0723175604485148
IE,IE06,Eastern and Midland,0.07996080898754793,2390177.125,0.0723175604485148
IT,ITC1,Piemonte,0.031020373029932213,4346022.625,0.02931520661686737
IT,ITC2,Valle d’Aosta/Vallée d’Aoste,0.03812474076230373,125856.0,0.02931520661686737
IT,ITC3,Liguria,0.031751243995869816,1545266.5,0.02931520661686737
IT,ITC4,Lombardia,0.03920378704712308,10003672.625,0.02931520661686737
IT,ITF1,Abruzzo,0.02503017356795078,1305884.75,0.02931520661686737
IT,ITF2,Molise,0.021249356549753486,304383.375,0.02931520661686737
IT,ITF3,Campania,0.01891557372904302,5759929.625,0.02931520661686737
IT,ITF4,Puglia,0.019117277208894893,4008119.0,0.02931520661686737
IT,ITF5,Basilicata,0.023055344005827025,560741.875,0.02931520661686737
IT,ITF6,Calabria,0.017288422937334746,1923894.125,0.02931520661686737
IT,ITG1,Sicilia,0.0179647823805232,4962605.375,0.02931520661686737
IT,ITG2,Sardegna,0.021327917428272773,1629258.75,0.02931520661686737
IT,ITH1,Provincia Autonoma di Bolzano/Bozen,0.0472045855693916,527737.5,0.02931520661686737
IT,ITH2,Provincia Autonoma di Trento,0.0386432677679382,540801.375,0.02931520661686737
IT,ITH3,Veneto,0.03312061558719098,4892072.875,0.02931520661686737
IT,ITH4,Friuli-Venezia Giulia,0.031789035699933514,1211817.125,0.02931520661686737
IT,ITH5,Emilia-Romagna,0.035978530674314474,4448499.875,0.02931520661686737
IT,ITI1,Toscana,0.03132030795707591,3715801.375,0.02931520661686737
IT,ITI2,Umbria,0.025667325055739595,878458.0,0.02931520661686737
IT,ITI3,Marche,0.027595719987411876,1522841.875,0.02931520661686737
IT,ITI4,Lazio,0.033824977383593885,5818721.375,0.02931520661686737
LT,LT01,Sostinės regionas,0.025021813076529714,812803.125,0.017096446991403197
LT,LT02,Vidurio ir vakarų Lietuvos regionas,0.01390630128978551,2019269.0,0.017096446991403197
LU,LU00,Luxembourg,0.10386829239323264,606501.0,0.10386829239323264
LV,LV00,Latvija,0.015505450404898613,1929521.375,0.015505450404898613
ME,ME00,Црна Гора,0.007361313459307774,621442.5,0.007361313459307774
MK,MK00,Северна Македонија,0.005307216553871051,2043408.125,0.005307216553871051
MT,MT00,Malta,0.027161574379106455,483912.25,0.027161574379106455
NL,NL11,Groningen,0.043482990709430236,585143.875,0.04582008021005103
NL,NL12,Friesland (NL),0.03207683473610254,648690.25,0.04582008021005103
